\begin_header
Bottom reflectance spectrum for AVERAGE CLEAN SEA GRASS
Based on measurements between 350 and 800 nm of 100% Thalassia measured by R. Zimmerman at Lee Stocking Island, Bahamas.
The 5nm values are extracted from 1 nm resolution measurements.
WARNING: Extrapolated by eye and splined to 300 and 1000 nm for use in HE5. The spectrum may be unrealistic in the 300-350 and 800-1000 nm regions.
NOTE:	These reflectance data are the average of over 250 CLEANED (scraped) leaves, not "fouled" leaves as generally found in nature; 
the data therefore may NOT represent the bottom reflectance of even a dense grass bed.
 (nm)   (nondimensional)
\end_header 
 300.0  0.05000
 305.0  0.04913
 310.0  0.04858
 315.0  0.04821
 320.0  0.04794
 325.0  0.04773
 330.0  0.04757
 335.0  0.04749
 340.0  0.04754
 345.0  0.04782
 350.0  0.04856
 355.0  0.04950
 360.0  0.04834
 365.0  0.04583
 370.0  0.04680
 375.0  0.04750
 380.0  0.04649
 385.0  0.04511
 390.0  0.04524
 395.0  0.04454
 400.0  0.04519
 405.0  0.04480
 410.0  0.04433
 415.0  0.04438
 420.0  0.04367
 425.0  0.04407
 430.0  0.04355
 435.0  0.04335
 440.0  0.04296
 445.0  0.04284
 450.0  0.04296
 455.0  0.04254
 460.0  0.04244
 465.0  0.04244
 470.0  0.04171
 475.0  0.04153
 480.0  0.04170
 485.0  0.04163
 490.0  0.04186
 495.0  0.04244
 500.0  0.04395
 505.0  0.04686
 510.0  0.05076
 515.0  0.05681
 520.0  0.06359
 525.0  0.07041
 530.0  0.07558
 535.0  0.07963
 540.0  0.08134
 545.0  0.08226
 550.0  0.08283
 555.0  0.08261
 560.0  0.08139
 565.0  0.07897
 570.0  0.07490
 575.0  0.07116
 580.0  0.06796
 585.0  0.06606
 590.0  0.06414
 595.0  0.06307
 600.0  0.06232
 605.0  0.06124
 610.0  0.05923
 615.0  0.05726
 620.0  0.05591
 625.0  0.05491
 630.0  0.05469
 635.0  0.05325
 640.0  0.05051
 645.0  0.04727
 650.0  0.04489
 655.0  0.04424
 660.0  0.04237
 665.0  0.04008
 670.0  0.03878
 675.0  0.03822
 680.0  0.03844
 685.0  0.04114
 690.0  0.05076
 695.0  0.06561
 700.0  0.08390
 705.0  0.10294
 710.0  0.11994
 715.0  0.13483
 720.0  0.14718
 725.0  0.15601
 730.0  0.16228
 735.0  0.16530
 740.0  0.16811
 745.0  0.16896
 750.0  0.17080
 755.0  0.17200
 760.0  0.17320
 765.0  0.17430
 770.0  0.17520
 775.0  0.17610
 780.0  0.17700
 785.0  0.17780
 790.0  0.17830
 795.0  0.17900
 800.0  0.17920
 805.0  0.17925
 810.0  0.17929
 815.0  0.17933
 820.0  0.17938
 825.0  0.17942
 830.0  0.17946
 835.0  0.17950
 840.0  0.17954
 845.0  0.17958
 850.0  0.17962
 855.0  0.17966
 860.0  0.17970
 865.0  0.17974
 870.0  0.17978
 875.0  0.17983
 880.0  0.17986
 885.0  0.17990
 890.0  0.17994
 895.0  0.17997
 900.0  0.18000
 905.0  0.18002
 910.0  0.18002
 915.0  0.18003
 920.0  0.18003
 925.0  0.18003
 930.0  0.18003
 935.0  0.18003
 940.0  0.18003
 945.0  0.18003
 950.0  0.18003
 955.0  0.18003
 960.0  0.18003
 965.0  0.18003
 970.0  0.18003
 975.0  0.18003
 980.0  0.18003
 985.0  0.18003
 990.0  0.18002
 995.0  0.18002
1000.0  0.18000
\end_data
