\begin_header
Bottom reflectance spectrum for "AVERAGE CORAL"
Based on measurements between 400 and 750 nm taken near Lee Stocking Island, Bahamas during the Coastal Benthic Optical Properties (CoBOP) experiment.
Used by permission of Charles Mazel and Michael Lesser.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in HE5; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions
wavelen  reflectance
  (nm)  (nondimensional)
\end_header
 300.0   0.07000
 305.0   0.07007
 310.0   0.07001
 315.0   0.06987
 320.0   0.06968
 325.0   0.06945
 330.0   0.06921
 335.0   0.06895
 340.0   0.06867
 345.0   0.06836
 350.0   0.06800
 355.0   0.06758
 360.0   0.06711
 365.0   0.06660
 370.0   0.06604
 375.0   0.06544
 380.0   0.06475
 385.0   0.06393
 390.0   0.06289
 395.0   0.06147
 400.0   0.05942
 405.0   0.05643
 410.0   0.05465
 415.0   0.05260
 420.0   0.04942
 425.0   0.04791
 430.0   0.04734
 435.0   0.04915
 440.0   0.05196
 445.0   0.05340
 450.0   0.05480
 455.0   0.05554
 460.0   0.05594
 465.0   0.05682
 470.0   0.05854
 475.0   0.06231
 480.0   0.06701
 485.0   0.07076
 490.0   0.07473
 495.0   0.08047
 500.0   0.08763
 505.0   0.09519
 510.0   0.10175
 515.0   0.10610
 520.0   0.10999
 525.0   0.11391
 530.0   0.11760
 535.0   0.12246
 540.0   0.12785
 545.0   0.13449
 550.0   0.14372
 555.0   0.15513
 560.0   0.16888
 565.0   0.18369
 570.0   0.19653
 575.0   0.20307
 580.0   0.20327
 585.0   0.20059
 590.0   0.19928
 595.0   0.20299
 600.0   0.21165
 605.0   0.21791
 610.0   0.21532
 615.0   0.20565
 620.0   0.19682
 625.0   0.19139
 630.0   0.18587
 635.0   0.18074
 640.0   0.17667
 645.0   0.17242
 650.0   0.16904
 655.0   0.15973
 660.0   0.13465
 665.0   0.10548
 670.0   0.08837
 675.0   0.08632
 680.0   0.09671
 685.0   0.12638
 690.0   0.19277
 695.0   0.28833
 700.0   0.37601
 705.0   0.43676
 710.0   0.47496
 715.0   0.49916
 720.0   0.51725
 725.0   0.53436
 730.0   0.55120
 735.0   0.56679
 740.0   0.57980
 745.0   0.58945
 750.0   0.59681
 755.0   0.60260
 760.0   0.60744
 765.0   0.61172
 770.0   0.61565
 775.0   0.61937
 780.0   0.62292
 785.0   0.62632
 790.0   0.62953
 795.0   0.63248
 800.0   0.63500
 805.0   0.63693
 810.0   0.63844
 815.0   0.63970
 820.0   0.64082
 825.0   0.64184
 830.0   0.64282
 835.0   0.64377
 840.0   0.64470
 845.0   0.64562
 850.0   0.64654
 855.0   0.64745
 860.0   0.64835
 865.0   0.64925
 870.0   0.65015
 875.0   0.65104
 880.0   0.65191
 885.0   0.65277
 890.0   0.65359
 895.0   0.65435
 900.0   0.65500
 905.0   0.65551
 910.0   0.65592
 915.0   0.65626
 920.0   0.65658
 925.0   0.65687
 930.0   0.65714
 935.0   0.65741
 940.0   0.65768
 945.0   0.65794
 950.0   0.65820
 955.0   0.65846
 960.0   0.65871
 965.0   0.65897
 970.0   0.65921
 975.0   0.65945
 980.0   0.65967
 985.0   0.65986
 990.0   0.66001
 995.0   0.66007
1000.0   0.66000
\end_data
