\begin_header
Bottom reflectance spectrum for "AVERAGE DARK SEDIMENT"
Based on measurements between 400 and 750 nm taken near Lee Stocking Island, Bahamas during the Coastal Benthic Optical Properties (CoBOP) experiment.
Used by permission of Charles Mazel and Michael Lesser.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in HE5; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions
wavelen  reflectance
  (nm)  (nondimensional)
\end_header
 300.0   0.14000
 305.0   0.14092
 310.0   0.14183
 315.0   0.14273
 320.0   0.14364
 325.0   0.14455
 330.0   0.14549
 335.0   0.14646
 340.0   0.14751
 345.0   0.14866
 350.0   0.15000
 355.0   0.15161
 360.0   0.15339
 365.0   0.15527
 370.0   0.15716
 375.0   0.15901
 380.0   0.16074
 385.0   0.16225
 390.0   0.16336
 395.0   0.16378
 400.0   0.16304
 405.0   0.16073
 410.0   0.16440
 415.0   0.16818
 420.0   0.16725
 425.0   0.17010
 430.0   0.17200
 435.0   0.17469
 440.0   0.17840
 445.0   0.18098
 450.0   0.18564
 455.0   0.19015
 460.0   0.19356
 465.0   0.19687
 470.0   0.19970
 475.0   0.20409
 480.0   0.20810
 485.0   0.21009
 490.0   0.21271
 495.0   0.21609
 500.0   0.22010
 505.0   0.22520
 510.0   0.23220
 515.0   0.23833
 520.0   0.24506
 525.0   0.25286
 530.0   0.25905
 535.0   0.26639
 540.0   0.27372
 545.0   0.28082
 550.0   0.28845
 555.0   0.29647
 560.0   0.30561
 565.0   0.31159
 570.0   0.31685
 575.0   0.32181
 580.0   0.32579
 585.0   0.33082
 590.0   0.33746
 595.0   0.34202
 600.0   0.34570
 605.0   0.34601
 610.0   0.34501
 615.0   0.34005
 620.0   0.33554
 625.0   0.33499
 630.0   0.33131
 635.0   0.32965
 640.0   0.32938
 645.0   0.33101
 650.0   0.32914
 655.0   0.31830
 660.0   0.29785
 665.0   0.27543
 670.0   0.25949
 675.0   0.25365
 680.0   0.25854
 685.0   0.27843
 690.0   0.31574
 695.0   0.35817
 700.0   0.39412
 705.0   0.41817
 710.0   0.43739
 715.0   0.45022
 720.0   0.45746
 725.0   0.46442
 730.0   0.47049
 735.0   0.47166
 740.0   0.47324
 745.0   0.47860
 750.0   0.47909
 755.0   0.48002
 760.0   0.48136
 765.0   0.48295
 770.0   0.48468
 775.0   0.48648
 780.0   0.48830
 785.0   0.49011
 790.0   0.49188
 795.0   0.49354
 800.0   0.49500
 805.0   0.49619
 810.0   0.49719
 815.0   0.49807
 820.0   0.49888
 825.0   0.49965
 830.0   0.50040
 835.0   0.50113
 840.0   0.50185
 845.0   0.50257
 850.0   0.50329
 855.0   0.50400
 860.0   0.50472
 865.0   0.50543
 870.0   0.50613
 875.0   0.50683
 880.0   0.50753
 885.0   0.50820
 890.0   0.50886
 895.0   0.50946
 900.0   0.51000
 905.0   0.51043
 910.0   0.51079
 915.0   0.51111
 920.0   0.51140
 925.0   0.51168
 930.0   0.51194
 935.0   0.51221
 940.0   0.51247
 945.0   0.51272
 950.0   0.51298
 955.0   0.51323
 960.0   0.51348
 965.0   0.51373
 970.0   0.51398
 975.0   0.51422
 980.0   0.51445
 985.0   0.51466
 990.0   0.51484
 995.0   0.51496
1000.0   0.51500
\end_data
