\begin_header
Bottom reflectance spectrum for "AVERAGE HARDPAN"
Based on measurements between 400 and 750 nm taken near Lee Stocking Island, Bahamas during the Coastal Benthic Optical Properties (CoBOP) experiment.
Used by permission of Charles Mazel and Michael Lesser.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in HE5; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions
wavelen  reflectance
  (nm)  (nondimensional)
\end_header
 300.0   0.18000
 305.0   0.18239
 310.0   0.18472
 315.0   0.18702
 320.0   0.18929
 325.0   0.19155
 330.0   0.19381
 335.0   0.19606
 340.0   0.19831
 345.0   0.20055
 350.0   0.20280
 355.0   0.20504
 360.0   0.20728
 365.0   0.20951
 370.0   0.21174
 375.0   0.21396
 380.0   0.21615
 385.0   0.21831
 390.0   0.22042
 395.0   0.22244
 400.0   0.22429
 405.0   0.22595
 410.0   0.22875
 415.0   0.23120
 420.0   0.23011
 425.0   0.23226
 430.0   0.23557
 435.0   0.23835
 440.0   0.24349
 445.0   0.24844
 450.0   0.25544
 455.0   0.26315
 460.0   0.26940
 465.0   0.27423
 470.0   0.27789
 475.0   0.28324
 480.0   0.28884
 485.0   0.29233
 490.0   0.29637
 495.0   0.30134
 500.0   0.30892
 505.0   0.31853
 510.0   0.32852
 515.0   0.33913
 520.0   0.34787
 525.0   0.35484
 530.0   0.36090
 535.0   0.36597
 540.0   0.37154
 545.0   0.37642
 550.0   0.38182
 555.0   0.38702
 560.0   0.39094
 565.0   0.39492
 570.0   0.39753
 575.0   0.40129
 580.0   0.40746
 585.0   0.41378
 590.0   0.41903
 595.0   0.42274
 600.0   0.42539
 605.0   0.42664
 610.0   0.42621
 615.0   0.42589
 620.0   0.42565
 625.0   0.42565
 630.0   0.42568
 635.0   0.42676
 640.0   0.43013
 645.0   0.43080
 650.0   0.42847
 655.0   0.42146
 660.0   0.40590
 665.0   0.38485
 670.0   0.36861
 675.0   0.36329
 680.0   0.37083
 685.0   0.39565
 690.0   0.43861
 695.0   0.48687
 700.0   0.52520
 705.0   0.55637
 710.0   0.57657
 715.0   0.59157
 720.0   0.60362
 725.0   0.61170
 730.0   0.61929
 735.0   0.62303
 740.0   0.62800
 745.0   0.63354
 750.0   0.63793
 755.0   0.64134
 760.0   0.64414
 765.0   0.64659
 770.0   0.64882
 775.0   0.65091
 780.0   0.65291
 785.0   0.65484
 790.0   0.65668
 795.0   0.65842
 800.0   0.66000
 805.0   0.66136
 810.0   0.66256
 815.0   0.66367
 820.0   0.66473
 825.0   0.66575
 830.0   0.66676
 835.0   0.66775
 840.0   0.66873
 845.0   0.66971
 850.0   0.67069
 855.0   0.67167
 860.0   0.67264
 865.0   0.67361
 870.0   0.67458
 875.0   0.67554
 880.0   0.67650
 885.0   0.67743
 890.0   0.67834
 895.0   0.67921
 900.0   0.68000
 905.0   0.68069
 910.0   0.68130
 915.0   0.68186
 920.0   0.68240
 925.0   0.68293
 930.0   0.68344
 935.0   0.68395
 940.0   0.68446
 945.0   0.68496
 950.0   0.68546
 955.0   0.68596
 960.0   0.68646
 965.0   0.68696
 970.0   0.68745
 975.0   0.68794
 980.0   0.68842
 985.0   0.68888
 990.0   0.68931
 995.0   0.68969
1000.0   0.69000
\end_data
