\begin_header
Bottom reflectance spectrum for "AVERAGE KELP"
Based on measurements between 400 and 750 nm taken in coastal California waters during the CICORE experiment.
Used by permission of Paul Bissett.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions.
wavelen  reflectance
  (nm)  (nondimensional
\end_header
 300.0   0.02500
 305.0   0.02471
 310.0   0.02445
 315.0   0.02422
 320.0   0.02399
 325.0   0.02378
 330.0   0.02358
 335.0   0.02339
 340.0   0.02322
 345.0   0.02308
 350.0   0.02300
 355.0   0.02299
 360.0   0.02303
 365.0   0.02311
 370.0   0.02320
 375.0   0.02329
 380.0   0.02338
 385.0   0.02346
 390.0   0.02351
 395.0   0.02351
 400.0   0.02343
 405.0   0.02322
 410.0   0.02283
 415.0   0.02248
 420.0   0.02227
 425.0   0.02212
 430.0   0.02191
 435.0   0.02173
 440.0   0.02171
 445.0   0.02169
 450.0   0.02171
 455.0   0.02175
 460.0   0.02175
 465.0   0.02179
 470.0   0.02189
 475.0   0.02208
 480.0   0.02227
 485.0   0.02230
 490.0   0.02228
 495.0   0.02237
 500.0   0.02263
 505.0   0.02307
 510.0   0.02367
 515.0   0.02440
 520.0   0.02522
 525.0   0.02616
 530.0   0.02712
 535.0   0.02822
 540.0   0.02954
 545.0   0.03122
 550.0   0.03350
 555.0   0.03642
 560.0   0.03979
 565.0   0.04311
 570.0   0.04544
 575.0   0.04636
 580.0   0.04623
 585.0   0.04570
 590.0   0.04588
 595.0   0.04744
 600.0   0.04894
 605.0   0.04781
 610.0   0.04427
 615.0   0.04064
 620.0   0.03830
 625.0   0.03726
 630.0   0.03659
 635.0   0.03633
 640.0   0.03777
 645.0   0.03986
 650.0   0.03889
 655.0   0.03350
 660.0   0.02707
 665.0   0.02353
 670.0   0.02298
 675.0   0.02390
 680.0   0.02571
 685.0   0.02933
 690.0   0.04021
 695.0   0.06304
 700.0   0.09164
 705.0   0.11591
 710.0   0.13253
 715.0   0.14313
 720.0   0.14991
 725.0   0.15431
 730.0   0.15710
 735.0   0.15873
 740.0   0.15957
 745.0   0.15975
 750.0   0.15964
 755.0   0.15958
 760.0   0.15956
 765.0   0.15957
 770.0   0.15959
 775.0   0.15962
 780.0   0.15966
 785.0   0.15972
 790.0   0.15978
 795.0   0.15987
 800.0   0.16000
 805.0   0.16018
 810.0   0.16040
 815.0   0.16064
 820.0   0.16089
 825.0   0.16115
 830.0   0.16142
 835.0   0.16168
 840.0   0.16195
 845.0   0.16222
 850.0   0.16249
 855.0   0.16276
 860.0   0.16303
 865.0   0.16330
 870.0   0.16357
 875.0   0.16384
 880.0   0.16410
 885.0   0.16435
 890.0   0.16459
 895.0   0.16481
 900.0   0.16500
 905.0   0.16514
 910.0   0.16524
 915.0   0.16532
 920.0   0.16538
 925.0   0.16544
 930.0   0.16550
 935.0   0.16555
 940.0   0.16561
 945.0   0.16566
 950.0   0.16571
 955.0   0.16576
 960.0   0.16581
 965.0   0.16585
 970.0   0.16590
 975.0   0.16594
 980.0   0.16598
 985.0   0.16602
 990.0   0.16604
 995.0   0.16604
1000.0   0.16600
\end_data
