\begin_header
Bottom reflectance spectrum for "AVERAGE MACROPHYTE"
Based on measurements between 400 and 750 nm taken near Lee Stocking Island, Bahamas during the Coastal Benthic Optical Properties (CoBOP) experiment.
Used by permission of Charles Mazel and Michael Lesser.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions.
wavelen  reflectance
  (nm)  (nondimensional)
\end_header
 300.0   0.02500
 305.0   0.02454
 310.0   0.02417
 315.0   0.02384
 320.0   0.02355
 325.0   0.02329
 330.0   0.02307
 335.0   0.02289
 340.0   0.02278
 345.0   0.02279
 350.0   0.02300
 355.0   0.02349
 360.0   0.02416
 365.0   0.02495
 370.0   0.02578
 375.0   0.02660
 380.0   0.02738
 385.0   0.02806
 390.0   0.02853
 395.0   0.02867
 400.0   0.02822
 405.0   0.02687
 410.0   0.02598
 415.0   0.02531
 420.0   0.02398
 425.0   0.02425
 430.0   0.02346
 435.0   0.02274
 440.0   0.02327
 445.0   0.02360
 450.0   0.02497
 455.0   0.02601
 460.0   0.02650
 465.0   0.02662
 470.0   0.02703
 475.0   0.02811
 480.0   0.02920
 485.0   0.02959
 490.0   0.03005
 495.0   0.03127
 500.0   0.03352
 505.0   0.03681
 510.0   0.04137
 515.0   0.04632
 520.0   0.05084
 525.0   0.05489
 530.0   0.05794
 535.0   0.06000
 540.0   0.06164
 545.0   0.06336
 550.0   0.06595
 555.0   0.06786
 560.0   0.07030
 565.0   0.07120
 570.0   0.07045
 575.0   0.07142
 580.0   0.07123
 585.0   0.07090
 590.0   0.07016
 595.0   0.06862
 600.0   0.06727
 605.0   0.06621
 610.0   0.06419
 615.0   0.06209
 620.0   0.05949
 625.0   0.05689
 630.0   0.05640
 635.0   0.05533
 640.0   0.05249
 645.0   0.04961
 650.0   0.04717
 655.0   0.04490
 660.0   0.04160
 665.0   0.03786
 670.0   0.03793
 675.0   0.04298
 680.0   0.04962
 685.0   0.06013
 690.0   0.08012
 695.0   0.11184
 700.0   0.15949
 705.0   0.19769
 710.0   0.21481
 715.0   0.22490
 720.0   0.22360
 725.0   0.21970
 730.0   0.21700
 735.0   0.21859
 740.0   0.22207
 745.0   0.22491
 750.0   0.23081
 755.0   0.23397
 760.0   0.23529
 765.0   0.23554
 770.0   0.23516
 775.0   0.23443
 780.0   0.23351
 785.0   0.23250
 790.0   0.23152
 795.0   0.23064
 800.0   0.23000
 805.0   0.22971
 810.0   0.22968
 815.0   0.22979
 820.0   0.22999
 825.0   0.23025
 830.0   0.23053
 835.0   0.23084
 840.0   0.23115
 845.0   0.23147
 850.0   0.23179
 855.0   0.23212
 860.0   0.23245
 865.0   0.23277
 870.0   0.23310
 875.0   0.23343
 880.0   0.23375
 885.0   0.23408
 890.0   0.23439
 895.0   0.23470
 900.0   0.23500
 905.0   0.23528
 910.0   0.23554
 915.0   0.23580
 920.0   0.23605
 925.0   0.23630
 930.0   0.23655
 935.0   0.23680
 940.0   0.23704
 945.0   0.23729
 950.0   0.23753
 955.0   0.23778
 960.0   0.23803
 965.0   0.23827
 970.0   0.23852
 975.0   0.23876
 980.0   0.23901
 985.0   0.23926
 990.0   0.23950
 995.0   0.23975
1000.0   0.24000
\end_data
