\begin_header
Bottom reflectance spectrum for "AVERAGE OOID SAND"
Based on measurements between 400 and 750 nm taken near Lee Stocking Island, Bahamas during the Coastal Benthic Optical Properties (CoBOP) experiment.
Used by permission of Charles Mazel and Michael Lesser.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions.
wavelen  reflectance
  (nm)  (nondimensional
\end_header
 300.0   0.20000
 305.0   0.21046
 310.0   0.22024
 315.0   0.22963
 320.0   0.23878
 325.0   0.24779
 330.0   0.25671
 335.0   0.26559
 340.0   0.27443
 345.0   0.28326
 350.0   0.29207
 355.0   0.30087
 360.0   0.30966
 365.0   0.31843
 370.0   0.32718
 375.0   0.33589
 380.0   0.34453
 385.0   0.35305
 390.0   0.36139
 395.0   0.36940
 400.0   0.37687
 405.0   0.38351
 410.0   0.39066
 415.0   0.39940
 420.0   0.40666
 425.0   0.41508
 430.0   0.42416
 435.0   0.43226
 440.0   0.44175
 445.0   0.45043
 450.0   0.45928
 455.0   0.46897
 460.0   0.47772
 465.0   0.48540
 470.0   0.49245
 475.0   0.50034
 480.0   0.50732
 485.0   0.51385
 490.0   0.52082
 495.0   0.52697
 500.0   0.53446
 505.0   0.54230
 510.0   0.55001
 515.0   0.55648
 520.0   0.56220
 525.0   0.56795
 530.0   0.57302
 535.0   0.57855
 540.0   0.58343
 545.0   0.58766
 550.0   0.59273
 555.0   0.59609
 560.0   0.60025
 565.0   0.60567
 570.0   0.61006
 575.0   0.61419
 580.0   0.62000
 585.0   0.62775
 590.0   0.63472
 595.0   0.63816
 600.0   0.64015
 605.0   0.64313
 610.0   0.64534
 615.0   0.64685
 620.0   0.64732
 625.0   0.64895
 630.0   0.65125
 635.0   0.65269
 640.0   0.65425
 645.0   0.65360
 650.0   0.65510
 655.0   0.65623
 660.0   0.65168
 665.0   0.64535
 670.0   0.64154
 675.0   0.64048
 680.0   0.64382
 685.0   0.65429
 690.0   0.66949
 695.0   0.68490
 700.0   0.69606
 705.0   0.70547
 710.0   0.71074
 715.0   0.71492
 720.0   0.71894
 725.0   0.72178
 730.0   0.72673
 735.0   0.72738
 740.0   0.72909
 745.0   0.73307
 750.0   0.73391
 755.0   0.73507
 760.0   0.73651
 765.0   0.73811
 770.0   0.73982
 775.0   0.74157
 780.0   0.74334
 785.0   0.74511
 790.0   0.74683
 795.0   0.74848
 800.0   0.75000
 805.0   0.75132
 810.0   0.75251
 815.0   0.75361
 820.0   0.75466
 825.0   0.75568
 830.0   0.75669
 835.0   0.75768
 840.0   0.75867
 845.0   0.75966
 850.0   0.76064
 855.0   0.76162
 860.0   0.76260
 865.0   0.76358
 870.0   0.76455
 875.0   0.76552
 880.0   0.76648
 885.0   0.76742
 890.0   0.76834
 895.0   0.76921
 900.0   0.77000
 905.0   0.77069
 910.0   0.77130
 915.0   0.77187
 920.0   0.77241
 925.0   0.77293
 930.0   0.77345
 935.0   0.77395
 940.0   0.77446
 945.0   0.77496
 950.0   0.77547
 955.0   0.77597
 960.0   0.77646
 965.0   0.77696
 970.0   0.77745
 975.0   0.77794
 980.0   0.77842
 985.0   0.77888
 990.0   0.77931
 995.0   0.77969
1000.0   0.78000
\end_data
