\begin_header
Bottom reflectance spectrum for "AVERAGE SEAGRASS"
Based on measurements between 400 and 750 nm taken near Lee Stocking Island, Bahamas during the Coastal Benthic Optical Properties (CoBOP) experiment.
Used by permission of Charles Mazel and Michael Lesser.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions.
wavelen  reflectance
  (nm)  (nondimensional)
\end_header
 300.0   0.06000
 305.0   0.05978
 310.0   0.05957
 315.0   0.05937
 320.0   0.05918
 325.0   0.05898
 330.0   0.05879
 335.0   0.05860
 340.0   0.05841
 345.0   0.05821
 350.0   0.05800
 355.0   0.05778
 360.0   0.05756
 365.0   0.05733
 370.0   0.05710
 375.0   0.05689
 380.0   0.05669
 385.0   0.05651
 390.0   0.05639
 395.0   0.05635
 400.0   0.05645
 405.0   0.05676
 410.0   0.05694
 415.0   0.05705
 420.0   0.05747
 425.0   0.05790
 430.0   0.05799
 435.0   0.05808
 440.0   0.05861
 445.0   0.05961
 450.0   0.06079
 455.0   0.06190
 460.0   0.06266
 465.0   0.06318
 470.0   0.06399
 475.0   0.06518
 480.0   0.06648
 485.0   0.06740
 490.0   0.06836
 495.0   0.06980
 500.0   0.07146
 505.0   0.07383
 510.0   0.07710
 515.0   0.08113
 520.0   0.08602
 525.0   0.09075
 530.0   0.09450
 535.0   0.09762
 540.0   0.10055
 545.0   0.10329
 550.0   0.10594
 555.0   0.10848
 560.0   0.11006
 565.0   0.11024
 570.0   0.10969
 575.0   0.10934
 580.0   0.10880
 585.0   0.10738
 590.0   0.10573
 595.0   0.10338
 600.0   0.10045
 605.0   0.09722
 610.0   0.09475
 615.0   0.09264
 620.0   0.09050
 625.0   0.08974
 630.0   0.08949
 635.0   0.08884
 640.0   0.08838
 645.0   0.08728
 650.0   0.08544
 655.0   0.08432
 660.0   0.08286
 665.0   0.08238
 670.0   0.08895
 675.0   0.10297
 680.0   0.12193
 685.0   0.15100
 690.0   0.18100
 695.0   0.20852
 700.0   0.29320
 705.0   0.38985
 710.0   0.44867
 715.0   0.50560
 720.0   0.55192
 725.0   0.58626
 730.0   0.60762
 735.0   0.62124
 740.0   0.63023
 745.0   0.63492
 750.0   0.63799
 755.0   0.64069
 760.0   0.64319
 765.0   0.64557
 770.0   0.64787
 775.0   0.65012
 780.0   0.65231
 785.0   0.65444
 790.0   0.65647
 795.0   0.65836
 800.0   0.66000
 805.0   0.66130
 810.0   0.66235
 815.0   0.66325
 820.0   0.66407
 825.0   0.66484
 830.0   0.66558
 835.0   0.66631
 840.0   0.66702
 845.0   0.66773
 850.0   0.66843
 855.0   0.66913
 860.0   0.66982
 865.0   0.67052
 870.0   0.67121
 875.0   0.67190
 880.0   0.67258
 885.0   0.67324
 890.0   0.67388
 895.0   0.67447
 900.0   0.67500
 905.0   0.67543
 910.0   0.67578
 915.0   0.67610
 920.0   0.67639
 925.0   0.67667
 930.0   0.67694
 935.0   0.67720
 940.0   0.67746
 945.0   0.67772
 950.0   0.67797
 955.0   0.67823
 960.0   0.67848
 965.0   0.67873
 970.0   0.67898
 975.0   0.67922
 980.0   0.67945
 985.0   0.67966
 990.0   0.67984
 995.0   0.67996
1000.0   0.68000
\end_data
