\begin_header
Bottom reflectance spectrum for "AVERAGE TURF ALGAE"
Based on measurements between 400 and 750 nm taken near Lee Stocking Island, Bahamas during the Coastal Benthic Optical Properties (CoBOP) experiment.
Used by permission of Charles Mazel and Michael Lesser.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-400 and 750-1000 nm regions.
wavelen  reflectance
  (nm)  (nondimensional)
\end_header
 300.0   0.09000
 305.0   0.08981
 310.0   0.08959
 315.0   0.08937
 320.0   0.08914
 325.0   0.08890
 330.0   0.08868
 335.0   0.08846
 340.0   0.08826
 345.0   0.08810
 350.0   0.08800
 355.0   0.08798
 360.0   0.08802
 365.0   0.08808
 370.0   0.08814
 375.0   0.08819
 380.0   0.08818
 385.0   0.08807
 390.0   0.08780
 395.0   0.08724
 400.0   0.08619
 405.0   0.08444
 410.0   0.08410
 415.0   0.08406
 420.0   0.08331
 425.0   0.08465
 430.0   0.08470
 435.0   0.08509
 440.0   0.08714
 445.0   0.08990
 450.0   0.09480
 455.0   0.09854
 460.0   0.10108
 465.0   0.10335
 470.0   0.10591
 475.0   0.10936
 480.0   0.11218
 485.0   0.11330
 490.0   0.11431
 495.0   0.11622
 500.0   0.11990
 505.0   0.12544
 510.0   0.13196
 515.0   0.13845
 520.0   0.14359
 525.0   0.14789
 530.0   0.15171
 535.0   0.15521
 540.0   0.15858
 545.0   0.16243
 550.0   0.16741
 555.0   0.17124
 560.0   0.17605
 565.0   0.17939
 570.0   0.18220
 575.0   0.18929
 580.0   0.19601
 585.0   0.20138
 590.0   0.20492
 595.0   0.20566
 600.0   0.20394
 605.0   0.20175
 610.0   0.19913
 615.0   0.19583
 620.0   0.19293
 625.0   0.19122
 630.0   0.19227
 635.0   0.19418
 640.0   0.19506
 645.0   0.19574
 650.0   0.19302
 655.0   0.18352
 660.0   0.16678
 665.0   0.14836
 670.0   0.13745
 675.0   0.13780
 680.0   0.14573
 685.0   0.16394
 690.0   0.20164
 695.0   0.24543
 700.0   0.29415
 705.0   0.32594
 710.0   0.34642
 715.0   0.35863
 720.0   0.35427
 725.0   0.36612
 730.0   0.36224
 735.0   0.36582
 740.0   0.37491
 745.0   0.37250
 750.0   0.38368
 755.0   0.39128
 760.0   0.39622
 765.0   0.39959
 770.0   0.40203
 775.0   0.40391
 780.0   0.40546
 785.0   0.40681
 790.0   0.40800
 795.0   0.40907
 800.0   0.41000
 805.0   0.41076
 810.0   0.41141
 815.0   0.41199
 820.0   0.41253
 825.0   0.41304
 830.0   0.41354
 835.0   0.41404
 840.0   0.41452
 845.0   0.41501
 850.0   0.41549
 855.0   0.41597
 860.0   0.41645
 865.0   0.41693
 870.0   0.41741
 875.0   0.41788
 880.0   0.41835
 885.0   0.41880
 890.0   0.41924
 895.0   0.41965
 900.0   0.42000
 905.0   0.42028
 910.0   0.42051
 915.0   0.42071
 920.0   0.42089
 925.0   0.42105
 930.0   0.42122
 935.0   0.42137
 940.0   0.42153
 945.0   0.42168
 950.0   0.42184
 955.0   0.42199
 960.0   0.42214
 965.0   0.42229
 970.0   0.42244
 975.0   0.42258
 980.0   0.42271
 985.0   0.42284
 990.0   0.42294
 995.0   0.42300
1000.0   0.42300
\end_data
