\begin_header
Bottom reflectance spectrum for BROWN ALGAE
Based on measurements between 390 and 800 nm taken from Figure 6 of Maritorena, Morel, and Gentili, 1994.  
"Diffuse Reflectance of Oceanic Shallow Waters: Influence of the Water Depth and Bottom Albedo," Limnol. Oceanogr. 39(7), 1689-1703.
The brown algae is the average of Turbinaria and Sargassum in their Figure 6.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-390 and 800-1000 nm regions
wavelen  reflectance
   nm)  (nondimensional)
\end_header 
 300.0  0.02000
 305.0  0.02000
 310.0  0.02000
 315.0  0.02000
 320.0  0.02000
 325.0  0.02000
 330.0  0.02000
 335.0  0.02000
 340.0  0.02000
 345.0  0.02000
 350.0  0.02000
 355.0  0.02000
 360.0  0.02000
 365.0  0.02000
 370.0  0.02000
 375.0  0.02000
 380.0  0.02000
 385.0  0.02000
 390.0  0.02000
 395.0  0.02100
 400.0  0.02200
 405.0  0.02300
 410.0  0.02300
 415.0  0.02300
 420.0  0.02300
 425.0  0.02300
 430.0  0.02300
 435.0  0.02300
 440.0  0.02300
 445.0  0.02400
 450.0  0.02400
 455.0  0.02500
 460.0  0.02600
 465.0  0.02600
 470.0  0.02700
 475.0  0.02800
 480.0  0.02900
 485.0  0.03000
 490.0  0.03000
 495.0  0.03100
 500.0  0.03200
 505.0  0.03300
 510.0  0.03500
 515.0  0.03700
 520.0  0.03900
 525.0  0.04100
 530.0  0.04400
 535.0  0.04600
 540.0  0.04900
 545.0  0.05300
 550.0  0.05800
 555.0  0.06400
 560.0  0.07100
 565.0  0.07700
 570.0  0.08200
 575.0  0.08500
 580.0  0.08600
 585.0  0.08600
 590.0  0.08800
 595.0  0.09100
 600.0  0.09400
 605.0  0.09300
 610.0  0.08700
 615.0  0.08100
 620.0  0.07600
 625.0  0.07400
 630.0  0.07200
 635.0  0.07200
 640.0  0.07400
 645.0  0.07700
 650.0  0.07500
 655.0  0.06500
 660.0  0.05100
 665.0  0.03900
 670.0  0.03300
 675.0  0.03200
 680.0  0.03600
 685.0  0.04900
 690.0  0.07500
 695.0  0.11600
 700.0  0.16700
 705.0  0.21300
 710.0  0.24700
 715.0  0.27100
 720.0  0.28700
 725.0  0.29800
 730.0  0.30500
 735.0  0.31200
 740.0  0.31700
 745.0  0.32000
 750.0  0.32300
 755.0  0.32400
 760.0  0.32500
 765.0  0.32600
 770.0  0.32700
 775.0  0.32800
 780.0  0.32900
 785.0  0.33000
 790.0  0.33000
 795.0  0.33100
 800.0  0.33100
 805.0  0.33084
 810.0  0.33082
 815.0  0.33087
 820.0  0.33096
 825.0  0.33107
 830.0  0.33119
 835.0  0.33132
 840.0  0.33145
 845.0  0.33158
 850.0  0.33171
 855.0  0.33184
 860.0  0.33197
 865.0  0.33210
 870.0  0.33223
 875.0  0.33237
 880.0  0.33250
 885.0  0.33263
 890.0  0.33276
 895.0  0.33288
 900.0  0.33300
 905.0  0.33311
 910.0  0.33322
 915.0  0.33332
 920.0  0.33342
 925.0  0.33352
 930.0  0.33362
 935.0  0.33372
 940.0  0.33381
 945.0  0.33391
 950.0  0.33401
 955.0  0.33411
 960.0  0.33421
 965.0  0.33431
 970.0  0.33441
 975.0  0.33450
 980.0  0.33460
 985.0  0.33470
 990.0  0.33480
 995.0  0.33490
1000.0  0.33500
\end_data
