\begin_header
Bottom reflectance spectrum for CLEAN CORAL SAND
Based on measurements between 390 and 800 nm taken from Figure 6 of Maritorena, Morel, and Gentili, 1994.  
"Diffuse Reflectance of Oceanic Shallow Waters: Influence of the Water Depth and Bottom Albedo," Limnol. Oceanogr. 39(7), 1689-1703.
The data are the "sand" curve in their Figure 6.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-390 and 800-1000 nm regions.
wavelen  reflectance 
  (nm)  (nondimensional)
\end_header
 300.0  0.21000
 305.0  0.21258
 310.0  0.21535
 315.0  0.21823
 320.0  0.22117
 325.0  0.22414
 330.0  0.22715
 335.0  0.23020
 340.0  0.23332
 345.0  0.23655
 350.0  0.24000
 355.0  0.24376
 360.0  0.24773
 365.0  0.25180
 370.0  0.25592
 375.0  0.26005
 380.0  0.26415
 385.0  0.26816
 390.0  0.27200
 395.0  0.27600
 400.0  0.28100
 405.0  0.28500
 410.0  0.29100
 415.0  0.29600
 420.0  0.30200
 425.0  0.30800
 430.0  0.31400
 435.0  0.32000
 440.0  0.32600
 445.0  0.33300
 450.0  0.33900
 455.0  0.34600
 460.0  0.35100
 465.0  0.35700
 470.0  0.36200
 475.0  0.36800
 480.0  0.37300
 485.0  0.37800
 490.0  0.38300
 495.0  0.38900
 500.0  0.39400
 505.0  0.40000
 510.0  0.40500
 515.0  0.41100
 520.0  0.41700
 525.0  0.42300
 530.0  0.42900
 535.0  0.43600
 540.0  0.44200
 545.0  0.44900
 550.0  0.45600
 555.0  0.46300
 560.0  0.47000
 565.0  0.47700
 570.0  0.48300
 575.0  0.49000
 580.0  0.49600
 585.0  0.50200
 590.0  0.50700
 595.0  0.51300
 600.0  0.51800
 605.0  0.52300
 610.0  0.52800
 615.0  0.53300
 620.0  0.53800
 625.0  0.54200
 630.0  0.54700
 635.0  0.55200
 640.0  0.55600
 645.0  0.56000
 650.0  0.56400
 655.0  0.56800
 660.0  0.57200
 665.0  0.57500
 670.0  0.57900
 675.0  0.58200
 680.0  0.58700
 685.0  0.59200
 690.0  0.59600
 695.0  0.60100
 700.0  0.60500
 705.0  0.61000
 710.0  0.61300
 715.0  0.61600
 720.0  0.61900
 725.0  0.62200
 730.0  0.62400
 735.0  0.62600
 740.0  0.62900
 745.0  0.63100
 750.0  0.63300
 755.0  0.63500
 760.0  0.63800
 765.0  0.64000
 770.0  0.64200
 775.0  0.64400
 780.0  0.64700
 785.0  0.64900
 790.0  0.65100
 795.0  0.65300
 800.0  0.65500
 805.0  0.65672
 810.0  0.65822
 815.0  0.65959
 820.0  0.66089
 825.0  0.66216
 830.0  0.66341
 835.0  0.66464
 840.0  0.66588
 845.0  0.66710
 850.0  0.66833
 855.0  0.66956
 860.0  0.67078
 865.0  0.67200
 870.0  0.67322
 875.0  0.67443
 880.0  0.67564
 885.0  0.67682
 890.0  0.67796
 895.0  0.67904
 900.0  0.68000
 905.0  0.68077
 910.0  0.68142
 915.0  0.68201
 920.0  0.68255
 925.0  0.68308
 930.0  0.68360
 935.0  0.68411
 940.0  0.68462
 945.0  0.68512
 950.0  0.68563
 955.0  0.68613
 960.0  0.68663
 965.0  0.68713
 970.0  0.68763
 975.0  0.68812
 980.0  0.68860
 985.0  0.68905
 990.0  0.68947
 995.0  0.68980
1000.0  0.69000
\end_data
