\begin_header
Bottom reflectance spectrum for GREEN ALGAE
Based on measurements between 390 and 800 nm taken from Figure 6 of Maritorena, Morel, and Gentili, 1994.  
"Diffuse Reflectance of Oceanic Shallow Waters: Influence of the Water Depth and Bottom Albedo," Limnol. Oceanogr. 39(7), 1689-1703.
The green algae is Boodlea in their Figure 6.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-390 and 800-1000 nm regions/
wavelen reflectance
   m)   (nondimensional) 
\end_header
 300.0  0.03000
 305.0  0.03065
 310.0  0.03121
 315.0  0.03173
 320.0  0.03223
 325.0  0.03271
 330.0  0.03318
 335.0  0.03365
 340.0  0.03411
 345.0  0.03456
 350.0  0.03500
 355.0  0.03541
 360.0  0.03579
 365.0  0.03611
 370.0  0.03632
 375.0  0.03634
 380.0  0.03600
 385.0  0.03549
 390.0  0.03700
 395.0  0.04200
 400.0  0.04600
 405.0  0.04700
 410.0  0.04700
 415.0  0.04600
 420.0  0.04600
 425.0  0.04500
 430.0  0.04300
 435.0  0.04200
 440.0  0.04300
 445.0  0.04800
 450.0  0.05500
 455.0  0.06000
 460.0  0.06300
 465.0  0.06400
 470.0  0.06600
 475.0  0.06700
 480.0  0.06900
 485.0  0.07200
 490.0  0.07700
 495.0  0.08700
 500.0  0.10300
 505.0  0.12500
 510.0  0.15100
 515.0  0.18000
 520.0  0.20800
 525.0  0.23100
 530.0  0.24600
 535.0  0.25700
 540.0  0.26300
 545.0  0.26700
 550.0  0.26900
 555.0  0.27000
 560.0  0.26700
 565.0  0.26100
 570.0  0.25300
 575.0  0.24300
 580.0  0.23500
 585.0  0.22700
 590.0  0.22200
 595.0  0.21700
 600.0  0.21500
 605.0  0.21000
 610.0  0.20400
 615.0  0.19600
 620.0  0.18900
 625.0  0.18400
 630.0  0.18000
 635.0  0.17400
 640.0  0.16400
 645.0  0.15100
 650.0  0.13900
 655.0  0.12800
 660.0  0.11500
 665.0  0.09900
 670.0  0.08300
 675.0  0.07500
 680.0  0.07800
 685.0  0.10100
 690.0  0.14800
 695.0  0.21200
 700.0  0.27600
 705.0  0.32900
 710.0  0.36800
 715.0  0.39500
 720.0  0.41400
 725.0  0.42700
 730.0  0.43500
 735.0  0.44000
 740.0  0.44400
 745.0  0.44600
 750.0  0.44700
 755.0  0.44700
 760.0  0.44700
 765.0  0.44700
 770.0  0.44600
 775.0  0.44600
 780.0  0.44600
 785.0  0.44600
 790.0  0.44600
 795.0  0.44600
 800.0  0.44500
 805.0  0.44424
 810.0  0.44387
 815.0  0.44372
 820.0  0.44368
 825.0  0.44371
 830.0  0.44377
 835.0  0.44384
 840.0  0.44393
 845.0  0.44402
 850.0  0.44411
 855.0  0.44421
 860.0  0.44431
 865.0  0.44440
 870.0  0.44450
 875.0  0.44459
 880.0  0.44469
 885.0  0.44478
 890.0  0.44486
 895.0  0.44494
 900.0  0.44500
 905.0  0.44503
 910.0  0.44505
 915.0  0.44506
 920.0  0.44506
 925.0  0.44506
 930.0  0.44505
 935.0  0.44505
 940.0  0.44505
 945.0  0.44504
 950.0  0.44504
 955.0  0.44503
 960.0  0.44503
 965.0  0.44502
 970.0  0.44502
 975.0  0.44501
 980.0  0.44501
 985.0  0.44501
 990.0  0.44500
 995.0  0.44500
1000.0  0.44500
\end_data
