\begin_header
Bottom reflectance spectrum for RED ALGAE
Based on measurements between 390 and 800 nm taken from Figure 6 of Maritorena, Morel, and Gentili, 1994.  
"Diffuse Reflectance of Oceanic Shallow Waters: Influence of the Water Depth and Bottom Albedo," Limnol. Oceanogr. 39(7), 1689-1703.
The red algae is the average of Porolithon and Corallinacae in their Figure 6.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm; the spectrum may be unrealistic in the 300-390 and 800-1000 nm regions.
wavelen  reflectance
  (nm)  (nondimensional) 
\end_header
 300.0  0.10000
 305.0  0.09986
 310.0  0.09968
 315.0  0.09947
 320.0  0.09924
 325.0  0.09902
 330.0  0.09879
 335.0  0.09856
 340.0  0.09835
 345.0  0.09815
 350.0  0.09800
 355.0  0.09791
 360.0  0.09784
 365.0  0.09777
 370.0  0.09766
 375.0  0.09746
 380.0  0.09707
 385.0  0.09635
 390.0  0.09500
 395.0  0.09300
 400.0  0.09100
 405.0  0.08700
 410.0  0.08300
 415.0  0.08000
 420.0  0.07700
 425.0  0.07500
 430.0  0.07200
 435.0  0.07000
 440.0  0.06900
 445.0  0.07100
 450.0  0.07300
 455.0  0.07400
 460.0  0.07400
 465.0  0.07400
 470.0  0.07300
 475.0  0.07200
 480.0  0.07000
 485.0  0.06700
 490.0  0.06400
 495.0  0.06300
 500.0  0.06400
 505.0  0.06800
 510.0  0.07300
 515.0  0.07600
 520.0  0.07700
 525.0  0.07600
 530.0  0.07500
 535.0  0.07400
 540.0  0.07300
 545.0  0.07300
 550.0  0.07300
 555.0  0.07300
 560.0  0.07300
 565.0  0.07400
 570.0  0.08000
 575.0  0.09500
 580.0  0.11600
 585.0  0.14100
 590.0  0.16100
 595.0  0.17400
 600.0  0.17900
 605.0  0.18000
 610.0  0.17600
 615.0  0.17200
 620.0  0.16800
 625.0  0.16800
 630.0  0.17100
 635.0  0.17700
 640.0  0.18300
 645.0  0.18700
 650.0  0.18500
 655.0  0.17700
 660.0  0.16200
 665.0  0.14300
 670.0  0.12700
 675.0  0.12000
 680.0  0.12600
 685.0  0.14600
 690.0  0.18600
 695.0  0.24700
 700.0  0.31600
 705.0  0.37700
 710.0  0.42000
 715.0  0.45000
 720.0  0.46900
 725.0  0.48200
 730.0  0.49100
 735.0  0.49800
 740.0  0.50300
 745.0  0.50700
 750.0  0.51000
 755.0  0.51200
 760.0  0.51400
 765.0  0.51500
 770.0  0.51700
 775.0  0.51800
 780.0  0.51900
 785.0  0.51900
 790.0  0.51800
 795.0  0.51600
 800.0  0.51400
 805.0  0.51283
 810.0  0.51229
 815.0  0.51209
 820.0  0.51207
 825.0  0.51215
 830.0  0.51229
 835.0  0.51245
 840.0  0.51263
 845.0  0.51281
 850.0  0.51300
 855.0  0.51320
 860.0  0.51339
 865.0  0.51359
 870.0  0.51378
 875.0  0.51398
 880.0  0.51418
 885.0  0.51438
 890.0  0.51458
 895.0  0.51479
 900.0  0.51500
 905.0  0.51523
 910.0  0.51546
 915.0  0.51570
 920.0  0.51594
 925.0  0.51618
 930.0  0.51642
 935.0  0.51666
 940.0  0.51690
 945.0  0.51714
 950.0  0.51739
 955.0  0.51763
 960.0  0.51787
 965.0  0.51812
 970.0  0.51836
 975.0  0.51861
 980.0  0.51886
 985.0  0.51911
 990.0  0.51938
 995.0  0.51967
1000.0  0.52000
\end_data
